nct,title,status,start_date,why,phase,enrollment,sponsor,sponsor_class,conditions,interventions,fetched_date,precision_medicine_match,in_study_halted_set
NCT03721965,Safety and Efficacy of Itacitinib in Combination With Corticosteroids for Treatment of Graft-Versus-Host Disease in Pediatric Subjects,TERMINATED,2019-12-31,The study was terminated due to insufficient efficacy in a separate phase III study,PHASE1|PHASE2,2,Incyte Corporation,INDUSTRY,Acute Graft-versus-host Disease,Itacitinib|Corticosteroids,2026-09-07,False,False
NCT03316638,A Study of a New Investigational Medicinal Product to Treat Patients with Advanced or Metastatic Solid Tumors,TERMINATED,2017-11-24,delay in participants recruitment in cohort A3 and IMP manufacturing issues,PHASE1|PHASE2,316,Pierre Fabre Medicament,INDUSTRY,Advanced or Metastatic Solid Tumors,W0101 - Cohort A1|W0101 - Cohort A2|W0101 - Expansion Phase,2026-09-07,False,False
NCT02598011,"A Study of the Safety of Toca 511, a Retroviral Replicating Vector, Combined With Toca FC in Subjects With Newly Diagnosed High Grade Glioma Receiving Standard of Care",WITHDRAWN,2017-01,Sponsor decision,PHASE1,0,Tocagen Inc.,INDUSTRY,Newly Diagnosed High Grade Glioma (HGG),Toca 511|Toca FC,2026-09-07,False,False
NCT03637764,"Safety, Preliminary Efficacy and PK of Isatuximab (SAR650984) Alone or in Combination With Atezolizumab in Patients With Advanced Malignancies",TERMINATED,2018-08-06,"Study was stopped after interim analysis for 4 cohorts (HCC, SCCHN, EOC, and GBM) indicated that the results did not fulfill the preplanned interim analysis criteria to move to Phase 2 stage 2 in all 4 cohorts.",PHASE1|PHASE2,107,Sanofi,INDUSTRY,Neoplasm,Isatuximab SAR650984|Atezolizumab,2026-09-07,False,False
NCT05765734,A Study of TAS3351 in NSCLC Patients With EGFRmt,TERMINATED,2023-05-25,"Sponsor's decision, not based on safety concerns",PHASE1,18,"Taiho Oncology, Inc.",INDUSTRY,Non-Small Cell Lung Cancer,TAS3351,2026-09-07,False,False
NCT03617263,Saroglitazar Magnesium 4 mg in the Treatment of Nonalcoholic Fatty Liver Disease (NAFLD) in Women With PCOS (EVIDENCES VII),TERMINATED,2019-02-12,Sponsor Decision,PHASE2,60,Zydus Therapeutics Inc.,INDUSTRY,Non-alcoholic Fatty Liver Disease in Women With PCOS,Saroglitazar Magnesium 4 mg Tablet|Placebo,2026-09-07,False,False
NCT04791514,A Study of Treprostinil Palmitil Inhalation Powder (TPIP) In Pulmonary Arterial Hypertension (PAH),TERMINATED,2022-03-29,Low enrolment,PHASE2,1,Insmed Incorporated,INDUSTRY,Pulmonary Arterial Hypertension,Treprostinil Palmitil,2026-09-07,False,False
NCT04457336,A Ph2b to Evaluate Clinical Efficacy and Safety of Tildacerfont in Adult CAH,TERMINATED,2020-08-26,Study SPR001-203 did not meet its primary and secondary endpoints therefore Spruce Biosciences has decided to terminate the study,PHASE2,96,Spruce Biosciences,INDUSTRY,Congenital Adrenal Hyperplasia,Tildacerfont/Placebo,2026-09-07,False,False
NCT05233436,PF-07265028 As Single Agent And In Combination With Sasanlimab in Advanced or Metastatic Solid Tumors,TERMINATED,2022-02-24,Study terminated based on internal business considerations and was not based on safety reasons,PHASE1,21,Pfizer,INDUSTRY,Advanced Solid Tumors|Gastric Cancer|Gastroesophageal Junction Cancer|Urothelial Cancer|Non Small Cell Lung Cancer|Head and Neck Squamous Cell Carcinomas,PF-07265028|Sasanlimab,2026-09-07,False,False
NCT05028114,Tricaprilin Liquid Formulation PK Study,TERMINATED,2021-08-31,"Part 1 was completed, Part 2 and Part 3 of the study were not conducted under this study protocol due to subject recruitment difficulty.",PHASE1,71,Cerecin,INDUSTRY,Alzheimer Disease,AC-1202|AC-OLE-01|AC-OLE-02|AC-OLE-03|AC-OLE-04|AC-OLE-05|AC-OLE-06|AC-OLE-07|AC-OLE-08|AC-OLE-09|AC-OLE-010|AC-OLE-P,2026-09-07,False,False
NCT03082300,A Study of ASP8273 in Subjects With Non-small Cell Lung Cancer (NSCLC) Harboring Epidermal Growth Factor Receptor (EGFR) Mutations,TERMINATED,2017-03-24,"Following recommendation by SOLAR Study IDMC, Astellas closed enrollment in ASP8273 studies.",PHASE1,3,"Astellas Pharma Global Development, Inc.",INDUSTRY,Non-small Cell Lung Cancer (NSCLC)|Epidermal Growth Factor Receptor (EGFR) Mutations,naquotinib,2026-09-07,False,False
NCT04426201,InterLeukin-7 to Improve Clinical Outcomes in Lymphopenic Patients With COVID-19 Infection ( ILIAD-7-US-O ),TERMINATED,2020-12-20,POOR ACCRUAL,PHASE2,10,Revimmune,INDUSTRY,COVID-19|Lymphocytopenia,CYT107|Placebo,2026-09-07,False,False
NCT05543707,PBI-0451 (Pomotrelvir) Phase 2 Study in Nonhospitalized Symptomatic Adults With COVID-19,TERMINATED,2022-09-21,Interim analysis concluded primary endpoint was not met,PHASE2,242,"Pardes Biosciences, Inc.",INDUSTRY,COVID-19,PBI-0451 (Pomotrelvir)|Placebo,2026-09-07,False,False
NCT05229900,A Study of SGN-ALPV in Advanced Solid Tumors,TERMINATED,2022-04-21,Study closed due to portfolio prioritization,PHASE1,43,Seagen Inc.,INDUSTRY,"Ovarian Neoplasms|Endometrial Neoplasms|Carcinoma, Non-Small-Cell Lung|Stomach Neoplasms|Gastroesophageal Junction Carcinoma|Uterine Cervical Neoplasms|Testicular Neoplasms",SGN-ALPV,2026-09-07,False,False
NCT05149807,Clinical Study of SHR-1701 Plus Chemotherapy as Perioperative Treatment in Subjects With Gastric Cancer,TERMINATED,2022-01-26,R\&d strategy adjustment,PHASE2|PHASE3,81,"Suzhou Suncadia Biopharmaceuticals Co., Ltd.",INDUSTRY,Perioperative Treatment in Subjects With Locally Advanced Resectable Gastric Cancer or Gastroesophageal Junction Cancer,SHR-1701 injection|Placebo,2026-09-07,False,False
NCT04025307,"Phase I Trial of bacTRL-IL-12 in Adult Subjects With Advanced, Treatment-refractory Solid Tumours",TERMINATED,2019-08-05,Sponsor decision,PHASE1,5,IQVIA Pty Ltd,INDUSTRY,Cancer - Solid Tumours,bacTRL-IL-12,2026-09-07,False,False
NCT03452540,Efficacy and Safety of Orally Administered DS102 in Patients With Acute Alcoholic Hepatitis,TERMINATED,2018-11-28,Company Decision,PHASE2,9,Afimmune,INDUSTRY,Severe Acute Decompensated Alcoholic Hepatitis,1000mg DS102 (BID),2026-09-07,False,False
NCT03608020,A Trial for Treatment of Cancer Patients With Multiple Brain Metastases Undergoing Whole-Brain Radiotherapy,TERMINATED,2018-10-04,Cessation of grant funding,PHASE1|PHASE2,35,"BioMimetix JV, LLC",INDUSTRY,Multiple Brain Metastases,BMX-001|Whole Brain Radiation Therapy,2026-09-07,False,False
NCT05279859,A Study of Anti-Cancer Therapies Targeting the MAPK Pathway in Patients With Hematologic Malignancies,WITHDRAWN,2022-03-15,Sponsor decision.,PHASE1|PHASE2,0,"Erasca, Inc.",INDUSTRY,Acute Myeloid Leukemia,ERAS-007|ERAS-601|Gilteritinib,2026-09-07,False,False
NCT04865159,Cardiovascular Safety Study of Tipifarnib in Patients With Advanced Solid Malignancies,TERMINATED,2021-05-06,Study terminated due to recruitment challenges,PHASE1,6,"Kura Oncology, Inc.",INDUSTRY,Advanced Solid Tumor,Tipifarnib,2026-09-07,False,False
NCT06585488,"A First-in-human Study of BGB-53038, a Pan-KRAS Inhibitor, Alone or in Combinations in Participants With Advanced or Metastatic Solid Tumors With KRAS Mutations or Amplification",TERMINATED,2024-12-13,"The Sponsor has made the decision to terminate this study due to the lack of promising efficacy, internal prioritization, and highly competitive landscape.",PHASE1,47,BeOne Medicines,INDUSTRY,Metastatic Solid Tumors|Advanced Non-squamous Non-small-cell Lung Cancer|Advanced Colorectal Cancer|Advanced Pancreatic Ductal Adenocarcinoma|Advanced Gastric Cancer|Advanced Gastroesophageal Junction Cancer|Advanced Esophageal Adenocarcinoma,BGB-53038|Tislelizumab|Cetuximab,2026-09-07,False,False
NCT05921760,"Ivosidenib, Nivolumab, and Ipilimumab Combination in Previously Treated Subjects With Nonresectable or Metastatic IDH1 Mutant Cholangiocarcinoma",TERMINATED,2023-10-23,The sponsor decided to terminate the study during the safety lead-in phase.,PHASE1|PHASE2,7,Servier Bio-Innovation LLC,INDUSTRY,IDH1-mutant Cholangiocarcinoma,Ivosidenib|Nivolumab|Ipilimumab,2026-09-07,False,False
NCT02533362,ANF-Rho in the Treatment of Chronic Neutropenia,WITHDRAWN,2015-10,,PHASE1|PHASE2,0,Prolong Pharmaceuticals,INDUSTRY,"Neutropenia, Severe Chronic",ANF-Rho,2026-09-07,False,False
NCT02503683,"A Study of an Investigational Drug, ALN-AAT, in Healthy Adult Subjects and Patients With ZZ Type Alpha-1 Antitrypsin Deficiency Liver Disease",TERMINATED,2015-07-09,"Observation of low incidence of asymptomatic, transiently elevated liver enzymes in a subset of study subjects",PHASE1,26,Alnylam Pharmaceuticals,INDUSTRY,Antitrypsin Deficiency Liver Disease,ALN-AAT|Sterile Normal Saline (0.9% NaCl),2026-09-07,False,False
NCT05256810,A Study to Evaluate ALN-XDH in Healthy Subjects and Patients With Gout,TERMINATED,2022-02-25,The Sponsor elected not to continue with the study,PHASE1|PHASE2,44,Alnylam Pharmaceuticals,INDUSTRY,Gout,ALN-XDH|Placebo,2026-09-07,False,False
NCT05770882,Chidamide + Regorafenib in Hepatocellular Carcinoma (HCC),TERMINATED,2023-04-25,The overall profile does not support development for Hepatocellular Carcinoma,PHASE1|PHASE2,7,Great Novel Therapeutics Biotech & Medicals Corporation,INDUSTRY,Hepatocellular Carcinoma (HCC),Chidamide|Regorafenib,2026-09-07,False,False
NCT05367661,"Safety, Tolerability, Pharmacokinetics, and Pharmacodynamics of CHK-336 in Healthy Volunteers",TERMINATED,2022-04-08,Sponsor decision,PHASE1,88,"Chinook Therapeutics, Inc.",INDUSTRY,Healthy Volunteers,CHK336|Placebo,2026-09-07,False,False
NCT02368691,Efficacy and Safety of GTx-024 in Patients With Androgen Receptor-Positive Triple Negative Breast Cancer (AR+ TNBC),TERMINATED,2015-06,Lack of Efficacy,PHASE2,32,GTx,INDUSTRY,Triple Negative Breast Cancer,GTx-024,2026-09-07,False,False
NCT04219982,DPI 386 Nasal Gel for the Prevention of Nausea Associated With Motion Sickness,TERMINATED,2018-06-29,Failure to meet enrollment,PHASE2|PHASE3,23,"Repurposed Therapeutics, Inc.",INDUSTRY,Motion Sickness,DPI-386 Nasal Gel|DPI-386 Placebo Nasal Gel|Transderm Scop®,2026-09-07,False,False
NCT04675450,NBP in Women With Metastatic Breast Cancer to Prevent Nab-paclitaxel Induced Toxic Neuropathy,WITHDRAWN,2023-06-30,Further preclinical development activities required to proceed,PHASE2,0,"Conjupro Biotherapeutics, Inc.",INDUSTRY,Breast Cancer|Peripheral Neuropathy,Placebo|NBP Softgel Capsules,2026-09-07,False,False
NCT03505710,DS-8201a in Human Epidermal Growth Factor Receptor 2 (HER2)-Expressing or -Mutated Non-Small Cell Lung Cancer,TERMINATED,2018-05-21,Last participant transitioned to alternative study.,PHASE2,181,Daiichi Sankyo,INDUSTRY,Non-Small Cell Lung Cancer,Trastuzumab deruxtecan,2026-09-07,False,False
NCT03740724,A Study of FCX-013 Plus Veledimex for the Treatment of Moderate to Severe Localized Scleroderma (Morphea),TERMINATED,2019-12-18,Sponsor decision,PHASE1|PHASE2,1,"Castle Creek Biosciences, LLC.",INDUSTRY,"Morphea|Scleroderma, Localized|Scleroderma",FCX-013|veledimex,2026-09-07,False,True
NCT04895410,Study to Assess Adverse Events and Change in Disease Activity of Intravenous (IV) Lemzoparlimab With or Without Oral/IV Dexamethasone and in Combination With Oral/IV/Subcutaneous Anti-Myeloma Regimens in Adult Participants With Multiple Myeloma,TERMINATED,2022-01-17,Strategic considerations,PHASE1,8,AbbVie,INDUSTRY,Multiple Myeloma,Lemzoparlimab|Dexamethasone|Carfilzomib|Pomalidomide|Daratumumab,2026-09-07,False,False
NCT02363946,A Study of ARC-AAT in Healthy Volunteer Subjects and Patients With Alpha-1 Antitrypsin Deficiency (AATD),TERMINATED,2015-02,Company decision to terminate the trial,PHASE1,65,Arrowhead Pharmaceuticals,INDUSTRY,Alpha-1 Antitrypsin Deficiency,ARC-AAT Injection|Placebo|Diphenhydramine,2026-09-07,False,False
NCT04862780,(SYMPHONY) Phase 1/2 Study Targeting EGFR Resistance Mechanisms in NSCLC,TERMINATED,2021-06-29,"Sponsor decision, not related to safety concerns",PHASE1,177,Blueprint Medicines Corporation,INDUSTRY,"Lung Neoplasms|Carcinoma, Non-Small-Cell Lung|Respiratory Tract Neoplasms|Neoplasms|Neoplasms by Site|Lung Diseases|Respiratory Tract Disease|Carcinoma, Bronchogenic|Bronchial Neoplasms|Adenocarcinoma|Carcinoma|Neoplasms by Histologic Type|Neoplasms, Nerve Tissue|EGFR T790M|EGFR C797S|EGFR L858R|EGFR Gene Mutation|EGF-R Positive Non-Small Cell Lung Cancer|EGFR Exon 19 Deletion|EGFR Mutation Resulting in Tyrosine Kinase Inhibitor Resistance|EGFR Activating Mutation|Protein Kinase Inhibitors|Antineoplastic Agents|Thoracic Neoplasms",BLU-945|osimertinib,2026-09-07,False,False
NCT02500927,A Study of ASP8273 in Epidermal Growth Factor Receptor (EGFR) Tyrosine Kinase Inhibitor-Naïve Patients With Non-Small Cell Lung Cancer Harboring EGFR Mutations,TERMINATED,2015-06-25,"Following recommendation by SOLAR Study IDMC, Astellas closed enrollment in ASP8273 studies.",PHASE2,31,Astellas Pharma Inc,INDUSTRY,EGFR-TKI-naïve Patients With NSCLC Harboring EGFR Activating Mutations,ASP8273 Capsules|ASP8273 Capsules A,2026-09-07,False,False
NCT06341712,Effects of Maintenance Cabozantinib+BSC Versus BSC in Children and AYA With Osteosarcoma,TERMINATED,2024-11-22,The sponsor has decided to terminate the CabOSTar study due to ongoing recruitment challenges,PHASE2,10,Ipsen,INDUSTRY,Osteosarcoma|Osteosarcoma in Children|Osteosarcoma in Adolescents and Young Adults,Cabozantinib|Best Supportive Care (BSC)|Best Supportive Care (BSC),2026-09-07,False,False
NCT05606757,A Study to Evaluate Adverse Events and Effectiveness of OnabotulinumtoxinA in Participants Undergoing Open Abdominal Ventral Hernia Repair for the Achievement of Primary Fascial Closure Without the Use of Component Separation Technique,WITHDRAWN,2024-05-07,Strategic considerations,PHASE2,0,AbbVie,INDUSTRY,Ventral Hernia|Abdominal Hernia,BOTOX Dose A|Placebo for BOTOX|BOTOX Dose B|BOTOX Dose C,2026-09-07,False,False
NCT04666701,Efficacy and Safety of Escócia Association in the Treatment of Acute Pain,WITHDRAWN,2023-02,Strategy review,PHASE2,0,EMS,INDUSTRY,Acute Pain,Escócia association|Placebo Ketorolac|Placebo Scopolamine|Ketorolac Tromethamine|Scopolamine|Placebo Escócia association,2026-09-07,False,False
NCT02449681,Study for Treatment of Patients With Recurrent or Metastatic Squamous Cell Carcinoma of the Head and Neck or Skin,TERMINATED,2015-08,Lack of efficacy,PHASE2,30,Rain Oncology Inc,INDUSTRY,Metastatic Head-and-neck Squamous-cell Carcinoma,TH-4000 (Tarloxotinib),2026-09-07,False,False
NCT03238651,A Study of TAK-659 as a Single Agent in Adult East Asian Participants With Non-Hodgkin Lymphoma (NHL),TERMINATED,2017-08-01,Termination of the study by the sponsor due to business decision.,PHASE1,17,"Calithera Biosciences, Inc",INDUSTRY,"Lymphoma, Non-Hodgkin|Lymphoma, Follicular, Marginal Zone",TAK-659,2026-09-07,False,False
NCT04261439,A Phase I/Ib Study of NIZ985 Alone and in Combination With Spartalizumab,TERMINATED,2020-02-27,Sponsor's decision and not due to any safety concerns,PHASE1,60,Novartis Pharmaceuticals,INDUSTRY,"In Escalation: All Patients With Solid Tumors and Lymphoma|In Expansion: Melanoma, Non-small Cell Lung Cancer",NIZ985|Spartalizumab|Tislelizumab,2026-09-07,False,False
NCT06054477,Study of ALE.C04 in Patients With Head and Neck Cancer,TERMINATED,2023-10-30,Reprioritization of Trial,PHASE1|PHASE2,21,Alentis Therapeutics AG,INDUSTRY,Head and Neck Cancer|Head and Neck Squamous Cell Carcinoma,ALE.C04|Pembrolizumab,2026-09-07,False,False
NCT02949375,Trial to Examine the Effect of Two Doses of GRI-0621 in Patients With Chronic Liver Disease,TERMINATED,2015-09,Administrative decision,PHASE2,14,"GRI Bio Operations, Inc.",INDUSTRY,Chronic Liver Disease,Placebo Comparator|Active Comparator:4.5mg GRI-0621|Active Comparator: 6.0mg GRI-0621,2026-09-07,False,False
NCT03336242,Cannabidiol Oral Solution in Pediatric Participants With Treatment-Resistant Childhood Absence Seizures,TERMINATED,2017-12-29,"More patients in Cohort 1 than Cohort 2 demonstrated a clinically meaningful reduction of seizure count. Given this, enrollment of Cohort 3 was discontinued.",PHASE2,20,"Radius Pharmaceuticals, Inc.",INDUSTRY,Childhood Absence Epilepsy,Cannabidiol Oral Solution,2026-09-07,False,False
NCT05219370,"Treatment With Cannabis Oil Containing CBD, THC, CBDV or CBG vs. Placebo of Persons With ADHD",TERMINATED,2022-07-31,Difficulties in enrollment,PHASE2,8,Brlev Agricultural Crops Ltd,INDUSTRY,ADHD|Hyperactivity|Attention Deficit,Cannabis oil,2026-09-07,False,False
NCT04849273,"A Study of TPX-0131, a Novel Oral ALK Tyrosine Kinase Inhibitor, in Patients With ALK+ Advanced or Metastatic NSCLC",TERMINATED,2021-07-28,Adverse change in the risk/benefit.,PHASE1,11,"Turning Point Therapeutics, Inc.",INDUSTRY,Non Small Cell Lung Cancer|Non-Small Cell Lung Cancer|NSCLC|Advanced Solid Tumor|Metastatic Solid Tumor|ALK Gene Mutation,TPX-0131,2026-09-07,False,False
NCT03938922,A Study to Evaluate ENT-01 for the Treatment of Parkinson's Disease Dementia,WITHDRAWN,2024-03-01,Compound will not be studied for indication,PHASE1,0,Enterin Inc.,INDUSTRY,Parkinson Disease|Dementia,Active Investigational Treatment ENT-01,2026-09-07,False,False
NCT05367401,A Study of Sabatolimab and Magrolimab-based Treatment in AML or Higher Risk MDS Participants,WITHDRAWN,2024-12-20,waiting for update from Study Lead,PHASE1|PHASE2,0,Novartis Pharmaceuticals,INDUSTRY,Myelodysplastic Syndromes|Acute Myeloid Leukemia,Sabatolimab|Magrolimab|Azacitidine,2026-09-07,False,False
NCT03652805,A Study of IPL344 in the Treatment of ALS Patients,SUSPENDED,2018-08-01,Study was suspended due to IPL344 shortage and may resume once drug supply is available.,PHASE1|PHASE2,15,Immunity Pharma Ltd.,INDUSTRY,Amyotrophic Lateral Sclerosis,IPL344,2026-09-07,False,False
NCT03148431,A Study of LY3002815 in Healthy Participants,TERMINATED,2017-05-24,due to business decisions,PHASE1,45,Eli Lilly and Company,INDUSTRY,Healthy,LY3002815|Placebo,2026-09-07,False,False
NCT03809039,"A Study to Investigate the Safety, Tolerability and Pharmacokinetics of MT-6345 in Healthy Subjects",TERMINATED,2019-01-15,Preclinical finding,PHASE1,52,"Tanabe Pharma America, Inc.",INDUSTRY,Healthy,MT-6345|MT-6345 Placebo,2026-09-07,False,False
NCT02520427,A Phase 1 Study of AMG 330 in Subjects With Myeloid Malignancies,TERMINATED,2015-08-31,"Amgen strategic business decision to cancel following portfolio review, re-prioritization.",PHASE1,95,Amgen,INDUSTRY,Relapsed/Refractory AML|Minimal Residual Disease Positive AML|Myelodysplastic Syndrome,AMG 330,2026-09-07,False,False
NCT02898753,VAL-1221 Delivered Intravenously in Ambulatory and Ventilator-free Participants With Late-Onset Pompe Disease,TERMINATED,2017-06-21,Company closure due to lack of funding,PHASE1|PHASE2,12,"Valerion Therapeutics, LLC",INDUSTRY,Pompe Disease,VAL-1221|RhGAA,2026-09-07,False,False
NCT02109653,Efficacy and Safety of LGX818 in Patients With Advanced or Metastatic BRAF V600 Mutant NSCLC,WITHDRAWN,2015-06,Study never started - transferred to Array.,PHASE2,0,"Array Biopharma, now a wholly owned subsidiary of Pfizer",INDUSTRY,Non-Small Cell Lung Cancer,LGX818,2026-09-07,False,False
NCT04337931,A Study to Evaluate Sotigalimab (APX005M) in Subjects With Unresectable or Metastatic Melanoma,TERMINATED,2019-06-12,Business decision (not due to safety reason).,PHASE2,45,"Apexigen America, Inc.",INDUSTRY,Unresectable Melanoma|Metastatic Melanoma|Cancer|Cancer of Skin|Melanoma|Melanoma (Skin),sotigalimab,2026-09-07,False,False
NCT05057273,Safety and Efficacy of Oral BT-11 in Crohn's Disease Patients With Moderate to Severe Disease,WITHDRAWN,2021-11,Decision by Landos Biopharma (not related to safety or efficacy),PHASE2,0,NImmune Biopharma,INDUSTRY,Crohn's Disease,BT-11|Active comparator,2026-09-07,False,False
NCT05747794,Study in Metastatic Breast Cancer Patients Receiving Eftilagimod Alpha or Placebo in Combination With Paclitaxel Chemotherapy,TERMINATED,2023-05-22,Sponsor Decision,PHASE2|PHASE3,72,Immutep S.A.S.,INDUSTRY,Breast Carcinoma,eftilagimod alpha|Paclitaxel|placebo,2026-09-07,False,False
NCT03385395,Study Comparing Weekly Intravenous Administration of OctaAlpha1 With a Marketed Preparation Glassia® in Subjects With Alpha-1-antitrypsin Deficiency,WITHDRAWN,2018-07,IND has been closed.,PHASE2,0,Octapharma,INDUSTRY,Alpha 1-Antitrypsin Deficiency,OctaAlpha1|Glassia,2026-09-07,False,False
NCT04987307,Safety and Efficacy of Efavaleukin Alfa in Participants With Moderately to Severely Active Ulcerative Colitis,TERMINATED,2022-01-31,The study was terminated due to meeting a prespecified futility rule and not related to any safety concerns.,PHASE2,221,Amgen,INDUSTRY,Ulcerative Colitis,Efavaleukin alfa|Placebo,2026-09-07,False,False
NCT06380907,A Phase 2 Study of ZL-1102 in Patients With Chronic Plaque Psoriasis,TERMINATED,2024-05-22,Sponsor decision,PHASE2,65,"Zai Lab (Hong Kong), Ltd.",INDUSTRY,Plaque Psoriasis,ZL-1102 1% w/w gel BID for 16 weeks|ZL-1102 3% w/w gel BID for 16 weeks|ZL-1102 3% w/w gel QD for 16 weeks|Placebo ZL-1102 0% w/w gel BID for 16 weeks|Placebo ZL-1102 0% w/w gel QD for 16 weeks,2026-09-07,False,False
NCT04000529,Phase Ib Study of TNO155 in Combination With Spartalizumab or Ribociclib in Selected Malignancies,TERMINATED,2019-07-30,Business reasons,PHASE1,122,Novartis Pharmaceuticals,INDUSTRY,Non-small Cell Lung Carcinoma|Head and Neck Squamous Cell Carcinoma|Esophageal SCC|Gastrointestinal Stromal Tumors|Colorectal Cancer,TNO155|Spartalizumab|Ribociclib,2026-09-07,False,False
NCT05063357,131I-omburtamab Delivered by Convection-Enhanced Delivery in Patients With Diffuse Intrinsic Pontine Glioma,WITHDRAWN,2022-03,Corporate business decision. Not due to safety or efficacy concerns.,PHASE1,0,Y-mAbs Therapeutics,INDUSTRY,DIPG,131I-Omburtamab|Convention Enhanced Delivery,2026-09-07,False,False
NCT03568071,"A Study to Assess Efficacy, Safety, Tolerability and Pharmacokinetics (PK)/Pharmacodynamics (PD) of MOR106 in Subjects With Moderate to Severe Atopic Dermatitis",TERMINATED,2018-04-26,MOR106 clinical development in atopic dermatitis was stopped for futility,PHASE2,207,Lakefront Biotherapeutics NV,INDUSTRY,Atopic Dermatitis,MOR 106|Placebo,2026-09-07,False,False
NCT04691375,A Study of PY314 in Subjects With Advanced Solid Tumors,TERMINATED,2020-10-29,Sponsor business decision.,PHASE1,86,Ikena Oncology,INDUSTRY,Advanced Solid Tumor|Gynecologic Cancer|Breast Cancer|Colorectal Cancer|Lung Adenocarcinoma|Renal Cell Carcinoma|Triple Negative Breast Cancer|Hormone Receptor/Growth Factor Receptor-Negative Breast Cancer|Ovarian Cancer,PY314|Combination Therapy: PY314 + Pembrolizumab,2026-09-07,False,False
NCT05744401,"A Long-term Extension Study to Evaluate Safety, Tolerability, and Efficacy of AL002 in Alzheimer's Disease",TERMINATED,2023-01-04,Parent study failed to meet the primary endpoint and there were no treatment effects that favored AL002 on secondary clinical and functional endpoints.,PHASE2,197,Alector Inc.,INDUSTRY,Alzheimer's Disease,AL002,2026-09-07,False,False
NCT03000595,A Trial of a Botanical Drug Product Containing East Indian Sandalwood Oil (EISO) For Treatment of Atopic Dermatitis,WITHDRAWN,2018-06,Study location changed,PHASE2,0,"Santalis Pharmaceuticals, Inc.",INDUSTRY,Atopic Dermatitis,SAN007 Cream|Placebo,2026-09-07,False,False
NCT02976701,Effect of DLBS1033 After Primary PCI in Patients With STE-ACS,TERMINATED,2016-11,The investigational cases were no longer relevant considering the recent implementation of our current national healthcare system.,PHASE2|PHASE3,23,Dexa Medica Group,INDUSTRY,ST Elevation Myocardial Infarction,DLBS1033|Placebo|Standard therapy,2026-09-07,False,False
NCT04448119,Control of COVID-19 Outbreaks in Long Term Care,TERMINATED,2020-10-16,Recruitment challenges,PHASE2,67,Appili Therapeutics Inc.,INDUSTRY,COVID-19|SARS-CoV-2,Favipiravir|Favipiravir Placebo,2026-09-07,False,False
NCT04590781,Safety and Efficacy of XmAb18087 ± Pembrolizumab in Advanced Merkel Cell Carcinoma or Extensive-stage Small Cell Lung Cancer,TERMINATED,2021-05-10,The study has been terminated early by the sponsor due to business decision.,PHASE1|PHASE2,4,"Xencor, Inc.",INDUSTRY,Merkel Cell Carcinoma|Small Cell Lung Cancer,XmAb18087|XmAb18087 ± Pembrolizumab,2026-09-07,False,False
NCT04067492,"Safety, Tolerability, Pharmacokinetics and Pharmacodynamics Evaluation of RPH-104 Administered at Different Doses to Patients With Acute Gout Attack",TERMINATED,2018-03-26,"In view of the continuing insufficient patient recruitment in the study due to the difficult epidemiological situation and the need for rational allocation of company resources, as well as based on the results of the interim analysis.",PHASE2,47,R-Pharm,INDUSTRY,Gout Attack,RPH - 104|Voltaren®,2026-09-07,False,False
NCT02468557,Study of Single Agent Idelalisib Followed by Idelalisib in Combination With Chemotherapy in Adults With Metastatic Pancreatic Ductal Adenocarcinoma,TERMINATED,2015-07-30,,PHASE1,16,Gilead Sciences,INDUSTRY,Previously Untreated Pancreatic Ductal Adenocarcinoma|Relapsed/Refractory Pancreatic Ductal Adenocarcinoma,Idelalisib|Nab-paclitaxel|mFOLFOX6,2026-09-07,False,False
NCT02607657,Pharmacokinetics of Eplerenone Tablet,WITHDRAWN,2016-05,,PHASE1,0,Biolab Sanus Farmaceutica,INDUSTRY,Healthy Volunteers,Eplerenone 25 mg|Eplerenone 50 mg|Eplerenone 100 mg|Eplerenone 50 mg twice a day|Eplerenone 25 mg twice a day,2026-09-07,False,False
NCT05576077,A Study of TBio-4101 (TIL) and Pembrolizumab in Patients With Advanced Solid Tumors,TERMINATED,2023-01-17,Sponsor decision,PHASE1,31,"Turnstone Biologics, Corp.",INDUSTRY,Breast Cancer|Colorectal Cancer|Uveal Melanoma|Cutaneous Melanoma|Non-Small Cell Lung Cancer|Head and Neck Squamous Cell Carcinoma,TBio-4101|Pembrolizumab,2026-09-07,False,False
NCT05445128,Study of MGTA-145 and Plerixafor in Patients With Sickle Cell Disease,TERMINATED,2022-06-24,"This study was voluntarily terminated due to a business decision not to proceed, and not due to any safety issue.",PHASE2,1,Ensoma,INDUSTRY,Sickle Cell Disease,MGTA-145|Plerixafor,2026-09-07,False,False
NCT07060365,A Master Protocol Study to Investigate Biomarker-guided Novel Anticancer Agent(s) as Monotherapy or Combination Therapy in Participants With Advanced/Recurrent Ovarian Cancer,WITHDRAWN,2025-09-02,"The study termination is based on Sponsor decision and is not related to any safety, efficacy or quality concerns.",PHASE1|PHASE2,0,AstraZeneca,INDUSTRY,Advanced/Recurrent Ovarian Cancer,Saruparib,2026-09-07,False,False
NCT05269134,Bacteriophage Therapy in Patients With Prosthetic Joint Infections (PJI),WITHDRAWN,2023-03-27,Sponsor Decision,PHASE2,0,"Adaptive Phage Therapeutics, Inc.",INDUSTRY,Prosthetic Joint Infection,Bacteriophage|Placebo,2026-09-07,False,False
