nct,title,status,start_date,why,phase,enrollment,sponsor,sponsor_class,conditions,interventions,fetched_date,precision_medicine_match,in_study_halted_set
NCT05397171,A First-in-human Study to Evaluate the Safety and Tolerability of AZD8853 in Participants With Selected Advanced/Metastatic Solid Tumours,TERMINATED,2022-06-07,"This study was terminated early as per protocol Section 4.4, based on overall risk-benefit profile observed to date. No safety concerns reported. Only Substudy 1 Part A was started; Parts B \& C were not started. Entire Master Protocol was terminated.",PHASE1|PHASE2,17,AstraZeneca,INDUSTRY,"Urinary Bladder Neoplasms|Colorectal Cancer|Carcinoma, Non-Small-Cell Lung",AZD8853|Zirconium-89 crefmirlimab berdoxam,2026-09-07,False,False
NCT04776044,Clinical Trial to Evaluate the Safety and Efficacy of ATR-002 in Adult Hospitalized Patients With COVID-19,TERMINATED,2021-04-12,general circumstances around COVID-19 and current availability of hospitalized patients,PHASE2,133,Atriva Therapeutics GmbH,INDUSTRY,COVID-19,ATR-002|Placebo,2026-09-07,False,False
NCT02633293,An Open Label Extension Study to Evaluate Inhaled Treprostinil in Adult PH With ILD Including CPFE,TERMINATED,2016-09-15,Inhaled treprostinil became commercially available in the US following its approval for PH-ILD,PHASE2|PHASE3,243,United Therapeutics,INDUSTRY,Pulmonary Hypertension|Interstitial Lung Disease|Combined Pulmonary Fibrosis and Emphysema,Inhaled Treprostinil,2026-09-07,False,False
NCT03814135,Efficacy and Safety of Two Doses of Hipnos in the Treatment of Adults With Insomnia,WITHDRAWN,2021-01,Sponsor decision,PHASE2,0,EMS,INDUSTRY,Insomnia,Hipnos 3|Hipnos 5|Hipnos 5 Placebo|Hipnos 3 Placebo,2026-09-07,False,False
NCT05119335,"A Study of NKT2152, a HIF2α Inhibitor, in Patients With Advanced Clear Cell Renal Cell Carcinoma",TERMINATED,2021-10-26,This study was terminated as a result of Sponsor portfolio reprioritization.,PHASE1|PHASE2,120,"NiKang Therapeutics, Inc.",INDUSTRY,ccRCC|Clear Cell Renal Cell Carcinoma|Kidney Cancer|Kidney Neoplasms|Renal Cancer|Renal Neoplasms|Recurrent Renal Cell Carcinoma|Metastatic Renal Cell Carcinoma|Refractory Renal Cell Carcinoma|Advanced Renal Cell Carcinoma|Hypoxia|Renal Cell Carcinoma|Hypoxia Inducible Factor (HIF)|HIF2α Inhibitor|Hypoxia Inducible Factor 2 Alpha (HIF-2 Alpha)|Hypoxia Inducible Factor 2α (HIF-2α)|Clear Cell,Oral NKT2152,2026-09-07,False,False
NCT05288543,A Study of Orally Administered IPG7236 in Healthy Adult Participants,TERMINATED,2022-04-07,Sponsor decision,PHASE1,63,"Nanjing Immunophage Biotech Co., Ltd",INDUSTRY,Atopic Dermatitis,IPG7236- Single ascending dose|IPG7236- Multiple ascending dose|Placebo (Part A),2026-09-07,False,False
NCT04968938,Study of Safety and Effects of MDMA-assisted Therapy for Treatment of PTSD,WITHDRAWN,2022-08,Sponsor decided not to pursue the study. Study ended prior to study start.,PHASE2,0,Resilient Pharmaceuticals,INDUSTRY,Posttraumatic Stress Disorder,midomafetamine|Therapy,2026-09-07,False,False
NCT03123055,A Study of B-701 in Combination With Pembrolizumab in Treatment of Locally Advanced or Metastatic Urothelial Cell Carcinoma,TERMINATED,2017-04-20,program has been put on hold by the sponsor,PHASE1|PHASE2,28,Rainier Therapeutics,INDUSTRY,Locally Advanced or Metastatic Urothelial Cell Carcinoma|Urinary Bladder Disease|Urological Diseases,B-701|Pembrolizumab,2026-09-07,False,False
NCT05413187,A Trial to Assess the Efficacy and Safety of Medical Grade Cannabis in Children Diagnosed With Autism Spectrum Disorder,WITHDRAWN,2020-09-01,withdrawn due to COVID-19,PHASE2,0,TO Pharmaceuticals,INDUSTRY,Autistic Disorder,Medical Grade Cannabis oil|Placebos,2026-09-07,False,False
NCT02559258,Escalating Single Dose Study of Epsi- Gam in Healthy Normal Subjects,TERMINATED,2015-08,Sponsor Decision,PHASE1,5,"Tunitas Therapeutics, Inc.",INDUSTRY,Allergy and Immunology,0.1 mg/kg epsi-gam or placebo (6:2)|0.3 mg/kg epsi-gam or placebo (6:2)|1.0 mg/kg epsi-gam or placebo (6:2)|3 mg/kg epsi-gam or placebo (6:2)|10 mg/kg epsi-gam or placebo (6:2),2026-09-07,False,False
NCT05861947,A Phase 1 Clinical Trial of AUR106 in Patients With Relapsed Advanced Malignancies,TERMINATED,2023-08-26,Patient recruitment problems,PHASE1,21,Aurigene Discovery Technologies Limited,INDUSTRY,Relapse|Advanced Malignant Neoplasm|Non Small Cell Lung Cancer|Gastric Cancer|Urothelial Carcinoma|Kidney Cancer|Colon Cancer|Esophagus Cancer,AUR106,2026-09-07,False,False
NCT05521087,A Study of JNJ-75276617 in Combination With Conventional Chemotherapy for Pediatric and Young Adult Participants With Relapsed/Refractory Acute Leukemias,WITHDRAWN,2025-12-26,Business Decision,PHASE1,0,"Janssen Research & Development, LLC",INDUSTRY,Acute Leukemias|Acute Myeloid Leukemia|Acute Lymphoblastic Leukemia|Acute Leukemia of Ambiguous Lineage,JNJ-75276617|Fludarabine|Cytarabine|Intrathecal Chemotherapy|Dexamethasone|Vincristine|Pegaspargase,2026-09-07,False,False
